EmpID,Age,Department,Education,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,Satisfied_in_job,MonthlyIncome,PerformanceRating
RM1175,25,Research & Development,1,Male,4,2,Manufacturing Director,3,Yes,5206,3
RM1412,25,Human Resources,3,Female,3,1,Human Resources,2,No,2187,3
RM1414,25,Research & Development,1,Male,3,1,Laboratory Technician,3,Yes,3977,3
RM1434,25,Sales,2,Female,3,2,Sales Executive,3,Yes,4907,4
RM043,26,Research & Development,3,Male,1,1,Laboratory Technician,3,Yes,2293,3
RM055,26,Sales,3,Female,2,2,Sales Executive,4,Yes,4157,3
RM126,26,Research & Development,3,Female,2,1,Research Scientist,2,No,2368,3
RM135,26,Human Resources,1,Female,3,1,Human Resources,3,Yes,2942,4
RM279,26,Research & Development,3,Female,3,2,Manufacturing Director,2,No,6397,4
RM285,26,Research & Development,2,Male,3,2,Healthcare Representative,1,No,4741,3
RM289,26,Research & Development,4,Male,3,1,Laboratory Technician,2,No,2373,3
RM294,26,Sales,4,Male,2,2,Sales Executive,4,Yes,5828,3
RM356,26,Sales,3,Male,3,2,Sales Executive,3,Yes,5296,3
RM383,26,Research & Development,1,Male,3,1,Research Scientist,1,No,3102,4
RM419,26,Research & Development,3,Female,3,1,Research Scientist,4,Yes,2886,4
RM454,26,Human Resources,4,Female,3,1,Human Resources,3,Yes,2741,3
RM461,26,Sales,2,Male,3,2,Sales Executive,3,Yes,4306,3
RM464,26,Research & Development,3,Male,1,1,Laboratory Technician,4,Yes,2340,3
RM476,26,Sales,2,Male,3,2,Sales Executive,2,No,6272,4
RM506,26,Research & Development,3,Female,3,1,Laboratory Technician,4,Yes,2659,3
RM572,26,Research & Development,2,Female,1,1,Laboratory Technician,4,Yes,4364,3
RM574,26,Sales,3,Male,2,2,Sales Executive,1,No,5326,3
RM615,26,Research & Development,2,Female,2,1,Research Scientist,3,Yes,2366,3
RM686,26,Sales,3,Male,2,2,Sales Executive,1,No,4294,3
RM734,26,Research & Development,2,Male,4,2,Manufacturing Director,4,Yes,5472,3
RM749,26,Sales,2,Male,1,2,Sales Executive,1,No,4969,3
RM763,26,Research & Development,3,Male,3,1,Research Scientist,1,No,2042,3
RM770,26,Research & Development,1,Female,2,1,Research Scientist,3,Yes,2007,3
RM782,26,Research & Development,2,Male,2,1,Laboratory Technician,1,No,3955,3
RM798,26,Research & Development,3,Male,3,1,Laboratory Technician,3,Yes,2377,4
RM844,26,Research & Development,4,Male,4,1,Laboratory Technician,4,Yes,4420,4
RM913,26,Research & Development,2,Male,3,1,Research Scientist,4,Yes,2875,4
RM999,26,Research & Development,1,Male,2,1,Research Scientist,4,Yes,3904,3
RM1005,26,Research & Development,3,Male,4,1,Laboratory Technician,1,No,3578,3
RM1119,26,Research & Development,3,Female,3,1,Research Scientist,4,Yes,2061,4
RM1207,26,Research & Development,3,Male,3,1,Laboratory Technician,4,Yes,2570,4
RM1225,26,Research & Development,4,Male,1,1,Laboratory Technician,3,Yes,2305,3
RM1298,26,Human Resources,2,Female,3,1,Human Resources,2,No,2148,3
RM1310,26,Sales,3,Male,3,2,Sales Executive,4,Yes,4684,3
RM1350,26,Research & Development,2,Female,2,1,Research Scientist,3,Yes,2933,3
RM1362,26,Research & Development,3,Male,4,1,Laboratory Technician,4,Yes,2544,3
RM1387,26,Research & Development,3,Male,3,1,Laboratory Technician,1,No,2867,3
RM1465,26,Sales,3,Female,2,1,Sales Representative,3,Yes,2966,3
RM1465,26,Sales,3,Female,2,1,Sales Representative,3,Yes,2966,3
RM005,27,Research & Development,1,Male,3,1,Laboratory Technician,2,No,3468,3
RM042,27,Research & Development,4,Female,3,1,Laboratory Technician,1,No,2341,3
RM044,27,Sales,3,Male,3,3,Sales Executive,3,Yes,8726,3
RM162,27,Research & Development,3,Male,3,1,Research Scientist,2,No,2024,3
RM165,27,Research & Development,3,Male,2,1,Research Scientist,3,Yes,2566,3
RM171,27,Research & Development,3,Male,3,1,Research Scientist,2,No,3058,3
RM192,27,Research & Development,3,Female,3,1,Research Scientist,2,No,2279,3
RM201,27,Research & Development,1,Male,2,2,Manufacturing Director,1,No,4298,3
RM213,27,Sales,3,Female,3,2,Sales Executive,3,Yes,9981,3
RM319,27,Research & Development,3,Female,3,1,Research Scientist,2,No,2478,3
RM321,27,Sales,3,Male,3,2,Sales Executive,3,Yes,4478,3
RM332,27,Sales,1,Male,3,2,Sales Executive,2,No,6349,3
RM340,27,Sales,4,Female,3,2,Sales Executive,2,No,6214,3
RM374,27,Research & Development,2,Male,3,1,Laboratory Technician,2,No,3816,3
RM486,27,Research & Development,4,Female,2,1,Research Scientist,3,Yes,2187,3
RM496,27,Sales,1,Male,3,1,Sales Representative,1,No,3041,3
RM513,27,Research & Development,4,Male,2,1,Research Scientist,4,Yes,2045,3
RM522,27,Sales,1,Female,4,2,Sales Executive,4,Yes,4647,4
RM531,27,Research & Development,2,Female,3,3,Manufacturing Director,1,No,7412,3
RM538,27,Research & Development,2,Male,3,3,Manufacturing Director,1,No,8793,4
RM555,27,Research & Development,3,Female,2,2,Healthcare Representative,1,No,6811,3
RM577,27,Sales,1,Male,3,2,Sales Executive,4,Yes,4342,3
RM611,27,Research & Development,1,Male,2,3,Research Director,4,Yes,12808,3
RM616,27,Research & Development,3,Male,3,1,Research Scientist,4,Yes,1706,3
RM671,27,Research & Development,3,Female,3,1,Research Scientist,3,Yes,2318,3
RM718,27,Research & Development,4,Female,3,1,Laboratory Technician,2,No,2811,3
RM740,27,Research & Development,4,Female,3,2,Manufacturing Director,4,Yes,4227,3
RM787,27,Research & Development,5,Male,1,1,Laboratory Technician,3,Yes,4621,3
RM834,27,Research & Development,3,Male,2,1,Research Scientist,3,Yes,2539,3
RM890,27,Research & Development,3,Male,3,1,Research Scientist,1,No,2235,3
RM903,27,Research & Development,2,Male,3,1,Research Scientist,3,Yes,2517,3
RM971,27,Sales,3,Female,4,1,Sales Representative,4,Yes,2534,3
RM975,27,Sales,1,Male,1,2,Sales Executive,4,Yes,5071,4
RM997,27,Sales,3,Female,2,2,Sales Executive,4,Yes,5769,3
RM998,27,Research & Development,4,Female,3,1,Research Scientist,3,Yes,2394,3
RM1018,27,Research & Development,1,Male,3,1,Laboratory Technician,1,No,2099,3
RM1150,27,Research & Development,3,Male,2,1,Laboratory Technician,1,No,4066,3
RM1170,27,Research & Development,3,Female,4,1,Research Scientist,3,Yes,3517,3
RM1171,27,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2580,3
RM1249,27,Research & Development,3,Female,3,1,Research Scientist,4,Yes,3445,3
RM1318,27,Research & Development,2,Female,3,1,Laboratory Technician,4,Yes,2379,3
RM1329,27,Sales,1,Female,2,2,Sales Representative,3,Yes,3540,4
RM1335,27,Research & Development,3,Female,2,1,Research Scientist,1,No,4774,3
RM1351,27,Sales,2,Female,4,2,Sales Executive,3,Yes,6500,3
RM1368,27,Research & Development,4,Male,3,1,Research Scientist,2,No,2226,3
RM1380,27,Human Resources,3,Female,2,1,Human Resources,2,No,2863,3
RM1394,27,Sales,3,Male,3,2,Sales Executive,4,Yes,4105,3
RM1468,27,Research & Development,3,Male,4,2,Manufacturing Director,2,No,6142,4
RM1468,27,Research & Development,3,Male,4,2,Manufacturing Director,2,No,6142,4
RM015,28,Research & Development,3,Male,2,1,Laboratory Technician,3,Yes,2028,3
RM052,28,Research & Development,4,Male,3,1,Laboratory Technician,3,Yes,3441,3
RM098,28,Sales,3,Male,3,2,Sales Executive,3,Yes,4221,3
RM163,28,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2713,3
RM265,28,Research & Development,4,Male,3,1,Laboratory Technician,3,Yes,3485,3
RM273,28,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2070,4
RM290,28,Research & Development,2,Female,3,1,Research Scientist,4,Yes,3310,4
RM303,28,Research & Development,2,Male,4,2,Healthcare Representative,1,No,5661,3
RM324,28,Research & Development,4,Male,1,1,Research Scientist,4,Yes,3464,3
RM375,28,Sales,4,Male,3,2,Sales Executive,4,Yes,5253,3
RM405,28,Research & Development,2,Male,3,2,Laboratory Technician,1,No,4558,3
RM541,28,Research & Development,2,Female,1,1,Research Scientist,2,No,2216,3
RM599,28,Research & Development,4,Male,3,1,Research Scientist,3,Yes,4382,3
RM613,28,Sales,4,Female,3,2,Sales Executive,2,No,4779,4
RM630,28,Human Resources,2,Male,2,1,Human Resources,4,Yes,4936,3
RM660,28,Sales,4,Male,3,2,Sales Executive,4,Yes,4908,3
RM669,28,Research & Development,3,Female,3,1,Research Scientist,3,Yes,2377,3
RM765,28,Sales,1,Male,3,1,Sales Representative,2,No,1052,4
RM781,28,Research & Development,2,Male,2,3,Healthcare Representative,1,No,8722,3
RM789,28,Research & Development,3,Female,3,2,Research Scientist,3,Yes,3660,3
RM794,28,Research & Development,2,Male,3,1,Laboratory Technician,3,Yes,2207,3
RM801,28,Research & Development,3,Male,2,1,Laboratory Technician,2,No,2596,3
RM810,28,Research & Development,3,Female,3,3,Manufacturing Director,2,No,7655,3
RM820,28,Research & Development,1,Male,2,1,Research Scientist,2,No,3201,3
RM828,28,Research & Development,3,Male,2,1,Research Scientist,3,Yes,2703,3
RM843,28,Research & Development,1,Female,3,1,Laboratory Technician,4,Yes,2515,3
RM869,28,Research & Development,4,Male,2,1,Laboratory Technician,1,No,3196,3
RM922,28,Research & Development,4,Male,3,1,Laboratory Technician,3,Yes,2154,3
RM930,28,Research & Development,3,Male,2,1,Laboratory Technician,4,Yes,3867,3
RM934,28,Research & Development,3,Male,3,1,Research Scientist,1,No,2080,3
RM945,28,Research & Development,3,Female,1,2,Laboratory Technician,4,Yes,6674,3
RM985,28,Sales,3,Male,2,2,Sales Executive,1,No,4724,3
RM1042,28,Sales,3,Male,3,2,Sales Executive,1,No,8463,3
RM1057,28,Sales,3,Male,3,1,Sales Representative,3,Yes,2909,3
RM1069,28,Research & Development,2,Male,2,1,Laboratory Technician,1,No,2561,3
RM1070,28,Research & Development,3,Male,2,1,Research Scientist,3,Yes,1563,3
RM1071,28,Sales,3,Male,3,2,Sales Executive,1,No,4898,3
RM1074,28,Research & Development,1,Male,1,2,Manufacturing Director,2,No,6549,3
RM1137,28,Research & Development,3,Male,3,1,Laboratory Technician,2,No,2408,3
RM1152,28,Research & Development,3,Female,1,2,Manufacturing Director,1,No,4877,4
RM1284,28,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2044,3
RM1308,28,Research & Development,3,Female,3,1,Research Scientist,1,No,3591,4
RM1324,28,Human Resources,2,Male,3,1,Human Resources,4,Yes,2706,3
RM1338,28,Sales,3,Female,3,1,Sales Representative,2,No,2856,3
RM1365,28,Sales,2,Male,2,2,Sales Executive,4,Yes,6834,3
RM1370,28,Sales,2,Female,3,2,Sales Executive,3,Yes,9854,3
RM1382,28,Research & Development,3,Male,3,1,Research Scientist,3,Yes,2144,3
RM1391,28,Research & Development,3,Male,2,1,Laboratory Technician,4,Yes,2367,3
RM012,29,Research & Development,2,Female,2,2,Laboratory Technician,3,Yes,4193,3
RM016,29,Research & Development,4,Female,4,3,Manufacturing Director,1,No,9980,3
RM072,29,Research & Development,3,Male,3,1,Research Scientist,2,No,2703,4
RM156,29,Research & Development,1,Male,3,2,Manufacturing Director,3,Yes,4319,3
RM206,29,Sales,3,Female,3,3,Sales Executive,4,Yes,7639,4
RM218,29,Research & Development,3,Male,3,1,Research Scientist,3,Yes,2058,3
RM228,29,Sales,1,Female,3,3,Sales Executive,4,Yes,7918,3
RM230,29,Research & Development,1,Male,2,1,Research Scientist,4,Yes,2389,3
RM253,29,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2340,3
RM255,29,Sales,2,Male,3,2,Sales Executive,4,Yes,6931,3
RM266,29,Sales,3,Male,2,2,Sales Executive,2,No,6644,3
RM283,29,Sales,2,Male,3,2,Sales Executive,4,Yes,4554,3
RM337,29,Research & Development,4,Male,1,1,Laboratory Technician,1,No,2119,3
RM338,29,Research & Development,5,Male,2,1,Laboratory Technician,4,Yes,3983,3
RM344,29,Sales,1,Female,2,2,Sales Executive,2,No,8268,3
RM350,29,Sales,3,Male,3,2,Sales Executive,3,Yes,4649,3
RM372,29,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2201,3
RM421,29,Research & Development,4,Male,2,3,Research Director,3,Yes,11935,3
RM422,29,Research & Development,5,Female,2,1,Research Scientist,2,No,2546,3
RM455,29,Research & Development,3,Male,3,2,Manufacturing Director,4,Yes,4262,3
RM508,29,Sales,2,Female,3,2,Sales Executive,3,Yes,5561,3
RM520,29,Research & Development,4,Male,1,1,Research Scientist,4,Yes,2720,3
RM547,29,Sales,3,Male,3,1,Sales Representative,3,Yes,2642,3
RM556,29,Sales,3,Male,3,1,Sales Representative,2,No,2297,3
RM573,29,Research & Development,3,Female,3,2,Healthcare Representative,3,Yes,4335,3
RM590,29,Research & Development,2,Female,2,1,Laboratory Technician,1,No,2319,3
RM595,29,Research & Development,2,Male,4,1,Research Scientist,3,Yes,2700,4
RM646,29,Sales,3,Female,2,1,Sales Representative,3,Yes,2800,3
RM658,29,Research & Development,1,Female,2,1,Laboratory Technician,4,Yes,2532,3
RM698,29,Sales,3,Female,3,1,Sales Representative,4,Yes,2157,3
RM712,29,Research & Development,3,Female,2,1,Research Scientist,1,No,2404,4
RM809,29,Research & Development,4,Female,3,1,Research Scientist,4,Yes,2514,4
RM824,29,Research & Development,3,Female,3,1,Research Scientist,2,No,3291,3
RM826,29,Research & Development,1,Male,2,2,Manufacturing Director,4,Yes,5056,3
RM837,29,Sales,1,Female,2,3,Sales Executive,1,No,7336,3
RM853,29,Research & Development,1,Female,3,1,Laboratory Technician,4,Yes,3131,3
RM860,29,Research & Development,1,Female,1,1,Research Scientist,4,Yes,2168,3
RM894,29,Research & Development,3,Female,3,1,Research Scientist,4,Yes,3760,3
RM904,29,Research & Development,3,Male,3,2,Healthcare Representative,4,Yes,6623,3
RM906,29,Research & Development,3,Female,2,4,Research Director,4,Yes,16124,3
RM933,29,Research & Development,3,Female,3,1,Laboratory Technician,3,Yes,3339,3
RM1006,29,Human Resources,3,Male,2,3,Human Resources,1,No,7988,3
RM1008,29,Research & Development,1,Female,3,3,Healthcare Representative,4,Yes,7553,3
RM1058,29,Sales,3,Female,3,2,Sales Executive,2,No,5765,3
RM1064,29,Sales,3,Male,2,2,Sales Executive,3,Yes,8620,3
RM1073,29,Research & Development,1,Female,3,1,Laboratory Technician,2,No,3180,3
RM1078,29,Research & Development,4,Male,2,1,Research Scientist,1,No,2362,3
RM1091,29,Research & Development,1,Female,1,2,Healthcare Representative,1,No,9715,3
RM1105,29,Research & Development,3,Male,4,1,Research Scientist,3,Yes,2451,3
RM1123,29,Research & Development,1,Male,3,1,Laboratory Technician,1,No,4723,3
RM1126,29,Research & Development,1,Male,3,2,Healthcare Representative,4,Yes,8853,3
RM1173,29,Sales,3,Male,2,2,Sales Executive,3,Yes,5869,3
RM1189,29,Sales,3,Male,2,2,Sales Executive,2,No,4187,3
RM1220,29,Research & Development,4,Female,3,1,Laboratory Technician,3,Yes,2974,3
RM1250,29,Sales,3,Female,1,1,Sales Representative,2,No,2760,3
RM1251,29,Research & Development,3,Male,4,2,Healthcare Representative,3,Yes,6294,3
RM1259,29,Research & Development,3,Female,2,1,Research Scientist,1,No,2109,3
RM1314,29,Human Resources,3,Male,2,1,Human Resources,1,No,2335,3
RM1319,29,Research & Development,1,Male,3,1,Laboratory Technician,4,Yes,3812,3
RM1325,29,Research & Development,1,Male,1,2,Healthcare Representative,3,Yes,6384,3
RM1330,29,Human Resources,1,Male,2,1,Human Resources,2,No,2804,3
RM1333,29,Research & Development,2,Male,2,1,Research Scientist,4,Yes,2439,4
RM1344,29,Research & Development,3,Male,3,1,Laboratory Technician,1,No,2062,3
RM1366,29,Sales,3,Male,4,1,Sales Representative,1,No,1091,3
RM1388,29,Research & Development,3,Male,3,2,Healthcare Representative,1,No,5373,3
RM1443,29,Research & Development,4,Male,3,1,Research Scientist,4,Yes,4787,3
RM1460,29,Research & Development,2,Male,2,2,Laboratory Technician,2,No,4025,3
RM1461,29,Research & Development,4,Female,2,1,Research Scientist,1,No,3785,3
RM1461,29,Research & Development,4,Female,2,1,Research Scientist,1,No,3785,3
RM008,30,Research & Development,1,Male,3,1,Laboratory Technician,3,Yes,2693,4
RM033,30,Research & Development,2,Male,2,1,Laboratory Technician,3,Yes,2206,3
RM045,30,Research & Development,2,Female,3,2,Laboratory Technician,4,Yes,4011,4
RM081,30,Research & Development,1,Male,2,2,Laboratory Technician,4,Yes,5126,3
RM089,30,Research & Development,3,Male,2,2,Healthcare Representative,4,Yes,4152,3
RM093,30,Sales,2,Female,2,2,Sales Executive,2,No,5209,3
RM121,30,Research & Development,3,Male,1,1,Research Scientist,3,Yes,2613,4
RM140,30,Human Resources,3,Male,3,2,Human Resources,4,Yes,6347,3
RM144,30,Research & Development,3,Female,3,1,Research Scientist,3,Yes,2632,3
RM146,30,Research & Development,3,Female,3,1,Research Scientist,1,No,3204,3
RM147,30,Research & Development,1,Male,2,1,Laboratory Technician,4,Yes,2720,3
RM168,30,Sales,3,Female,3,3,Sales Executive,4,Yes,9419,3
RM174,30,Research & Development,3,Male,3,2,Laboratory Technician,1,No,3072,3
RM212,30,Research & Development,1,Male,2,3,Manufacturing Director,3,Yes,8474,4
RM215,30,Research & Development,3,Female,3,1,Research Scientist,1,No,2657,3
RM217,30,Sales,4,Female,2,2,Sales Executive,1,No,6696,3
RM325,30,Research & Development,2,Female,3,2,Research Scientist,4,Yes,5775,3
RM339,30,Sales,3,Female,2,2,Sales Executive,3,Yes,6118,3
RM355,30,Sales,2,Female,3,2,Sales Executive,3,Yes,4736,3
RM382,30,Sales,1,Male,3,1,Sales Representative,2,No,2476,3
RM386,30,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2285,4
RM403,30,Sales,3,Female,3,2,Sales Executive,3,Yes,6577,3
RM411,30,Research & Development,3,Female,1,2,Manufacturing Director,4,Yes,6091,4
RM420,30,Research & Development,3,Male,3,1,Laboratory Technician,4,Yes,2097,3
RM424,30,Sales,4,Female,3,3,Sales Executive,1,No,8412,3
RM427,30,Research & Development,3,Female,3,1,Laboratory Technician,4,Yes,2564,3
RM438,30,Sales,1,Male,3,1,Sales Representative,2,No,2983,3
RM481,30,Sales,4,Male,2,1,Sales Representative,1,No,2033,3
RM502,30,Research & Development,3,Female,3,1,Research Scientist,3,Yes,2083,4
RM546,30,Sales,5,Male,3,2,Sales Executive,4,Yes,5304,4
